key,row,column,row_pin,column_pin,x,y
KEY_1,0,0,GPA5,GPB0,14.375,26.0
KEY_2,0,1,GPA5,GPB1,33.425,26.0
KEY_3,0,2,GPA5,GPB2,52.475,26.0
KEY_4,0,3,GPA5,GPB3,71.525,26.0
KEY_5,0,4,GPA5,GPB4,90.575,26.0
KEY_6,0,5,GPA5,GPB5,109.625,26.0
KEY_7,1,0,GPA6,GPB0,14.375,45.05
KEY_8,1,1,GPA6,GPB1,33.425,45.05
KEY_9,1,2,GPA6,GPB2,52.475,45.05
KEY_10,1,3,GPA6,GPB3,71.525,45.05
KEY_11,1,4,GPA6,GPB4,90.575,45.05
KEY_12,1,5,GPA6,GPB5,109.625,45.05
KEY_13,2,0,GPA7,GPB0,14.375,64.1
KEY_14,2,1,GPA7,GPB1,33.425,64.1
KEY_15,2,2,GPA7,GPB2,52.475,64.1
KEY_16,2,3,GPA7,GPB3,71.525,64.1
KEY_17,2,4,GPA7,GPB4,90.575,64.1
KEY_18,2,5,GPA7,GPB5,109.625,64.1
