key,gpio,panel_x,panel_y,pcb_x,pcb_y
KEY_1,1,19.875,56.625,16.875,56.375
KEY_2,2,38.925,56.625,35.925,56.375
KEY_3,3,57.974999999999994,56.625,54.974999999999994,56.375
KEY_4,4,77.02499999999998,56.625,74.02499999999998,56.375
KEY_5,5,96.07499999999999,56.625,93.07499999999999,56.375
KEY_6,6,115.125,56.625,112.125,56.375
KEY_7,7,19.875,37.575,16.875,75.425
KEY_8,8,38.925,37.575,35.925,75.425
KEY_9,9,57.974999999999994,37.575,54.974999999999994,75.425
KEY_10,10,77.02499999999998,37.575,74.02499999999998,75.425
KEY_11,11,96.07499999999999,37.575,93.07499999999999,75.425
KEY_12,12,115.125,37.575,112.125,75.425
KEY_13,13,19.875,18.525,16.875,94.475
KEY_14,14,38.925,18.525,35.925,94.475
KEY_15,15,57.974999999999994,18.525,54.974999999999994,94.475
KEY_16,16,77.02499999999998,18.525,74.02499999999998,94.475
KEY_17,17,96.07499999999999,18.525,93.07499999999999,94.475
KEY_18,18,115.125,18.525,112.125,94.475
